NAME,TYPE,ALIAS,LENGTH,DEFAULT,DOMAIN
FACILITY,TEXT,FACILITY,255
NODE,LONG,NODE,,,NODE
COST,SHORT,COST,,,POSITIVE
SPACES,SHORT,SPACES,,,POSITIVE
ESTIMATE,SHORT,ESTIMATE,,,BINARY
SCENARIO,TEXT,SCENARIO,20
