NAME,TYPE,ALIAS,LENGTH,DEFAULT,DOMAIN
NODE,LONG,NODE,,,NODE
POINT_X,DOUBLE,POINT_X
POINT_Y,DOUBLE,POINT_Y
subzone17,LONG,subzone17,,,SUBZONE
zone17,LONG,zone17,,,ZONE
capzone17,LONG,capzone17,,,CAPZONE
IMArea,SHORT,IMArea,,,BINARY
