NAME,TYPE,ALIAS,LENGTH,DEFAULT,DOMAIN
TRANSIT_LINE,TEXT,TRANSIT_LINE,6
ITIN_ORDER,SHORT,ITIN_ORDER,,0,POSITIVE
ITIN_A,LONG,ITIN_A,,0,NODE
ITIN_B,LONG,ITIN_B,,0,NODE
ABB,TEXT,ABB,13
LAYOVER,SHORT,LAYOVER,,0,POSITIVE
DWELL_CODE,TEXT,DWELL_CODE,1,0,DWELLCODE
ZONE_FARE,SHORT,ZONE_FARE,,0,POSITIVE
LINE_SERV_TIME,FLOAT,LINE_SERV_TIME,,0
TTF,TEXT,TTF,1,1,TTF
LINK_STOPS,SHORT,LINK_STOPS,,0,POSITIVE
IMPUTED,TEXT,IMPUTED,1,0,IMPUTED
DEP_TIME,LONG,DEP_TIME,,0
ARR_TIME,LONG,ARR_TIME,,0
F_MEAS,DOUBLE,F_MEAS,,0
T_MEAS,DOUBLE,T_MEAS,,0
