Code,Description
25,25 - CTA Short Bus (Regular Service)
26,26 - CTA Standard Bus (Regular Service)
27,27 - CTA Articulated Bus (Regular Service)
28,28 - Pace Standard Bus (Regular Service)
29,29 - Pace Standard Bus (Express Service)
30,30 - Pace Standard Bus (Local Service)
31,31 - CTA Short Bus (Express Service)
32,32 - CTA Standard Bus (Express Service)
33,33 - CTA Articulated Bus (Express Service)
