Code,Description
100,"100 - Michigan Avenue"
101,"101 - Ohio/Ontario & Illinois/Grand"
102,"102 - 95th/87th"
103,"103 - Palatine/Willow"
104,"104 - Orchard/Randall/IL 31"
105,"105 - IL 21/Milwaukee Avenue"
106,"106 - IL 59"
107,"107 - US 30"
108,"108 - Lake-Cook Road"
109,"109 - IL 64/North Avenue"
200,"200 - US 14/Northwest Highway"
201,"201 - IL 22"
202,"202 - 75th Street/US 34/US 30"
203,"203 - Barrington Rd/County Farm Road"
204,"204 - Larkin/Weber/Naper/Naperville"
205,"205 - US 45"
206,"206 - Western Avenue/Dixie Highway"
207,"207 - IL 19/Irving Park Road"
208,"208 - Archer Avenue/Pershing Road"
209,"209 - US 41 (South)"
210,"210 - US 12/Rand Road"
211,"211 - IL 137/Peterson Road"
212,"212 - US 45"
300,"300 - Cumberland Avenue/First Avenue"
301,"301 - IL 43/Waukegan/Oakton/Harlem"
302,"302 - Ill 83/Bell Road"
303,"303 - US 6/Cedar/Bruce/Caton Farm"
304,"304 - US 14"
305,"305 - Lake Shore Drive/Stony Island Avenue"
306,"306 - IL 47"
307,"307 - IL 173/IL 131"
400,"400 - IL 83/127th Street/130th Street"
401,"401 - 55th Street Corridor"
402,"402 - Torrence Avenue"
403,"403 - IL 62 (Algonquin Road)/IL 58 (Golf Road)"
404,"404 - Dempster/McCormick/Lincoln Avenue Corridor"
405,"405 - IL 56/Butterfield/Cermak"
406,"406 - Roselle/Euclid/Quentin"
407,"407 - IL 25/Dunham/Kirk/Farnsworth"
408,"408 - IL 132/IL 83"
409,"409 - IL 23"
410,"410 - Peotone Road"
411,"411 - Downtown Chicago Routes"
501,"501 - IL 1/IL 394"
502,"502 - IL 72/Higgins Road/Touhy Avenue"
503,"503 - IL 59"
504,"504 - Pulaski Rd & Cicero/167th St"
505,"505 - IL 19"
506,"506 - Roosevelt Road/IL 38/Fabyan Pky"
507,"507 - Stearns Road"
508,"508 - IL 120/Charles Road"
509,"509 - IL 176/IL 60"
510,"510 - US 20: Elgin-O'Hare to I-355"
511,"511 - US 20: Boone (McHenry) to Randall"
512,"512 - IL 53"
513,"513 - US 34 & IL 71 & IL 47"
514,"514 - US 41 (North)"
515,"515 - Woodstock Bypass"
600,"600 - US 6/Wolf Road"
601,"601 - IL 176"
602,"602 - IL 131/IL 120/Sunset/Golf/Greenwood"
603,"603 - Manhattan-Monee Road"
WK001,"WK001 - WIKADUKE Trail"
WK002,"WK002 - Schoolhouse Road"
